,"NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","BUILDING CLASS AT PRESENT
","LAND SQUARE FEET
","BLOCK
","LOT
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
",Predicted Values,Original Values
744,2,13,13,0,774,1261,1,0,1,0,0,0,3495960.9257123866,0
3879,11,10,10,0,539,31,0,0,0,0,0,1930,844063.2952068853,535000
24702,36,10,12,0,1195,1,0,0,0,0,0,1905,-232489.09176708572,920000
491,2,10,30,0,793,17,0,0,0,0,0,1920,-224104.8780680648,1879000
9173,25,10,16,0,1362,41,0,0,0,0,0,1962,-102138.82190871937,700000
4236,11,10,12,0,556,44,0,0,0,0,0,1921,725789.0448704059,665000
11832,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,13000
7316,21,9,9,0,348,53,0,0,0,0,0,1920,637062.941417052,379000
19245,34,10,16,0,1507,33,0,0,0,0,0,1930,-421260.31027530506,4080000
25207,36,13,16,0,1210,1248,1,0,1,0,0,1920,886806.4411909641,515000
19952,33,10,11,0,1551,5,0,0,0,0,0,1929,-72038.07956466451,875000
15710,35,10,8,0,1184,10,0,0,0,0,0,1929,75644.25845766952,1240000
18516,35,13,15,0,1139,1210,1,0,1,0,0,0,2096954.9692110182,1600000
1126,3,43,54,0,280,1033,0,0,1,0,0,1899,1609347.9482084704,620000
10121,26,13,13,0,1008,1248,1,0,1,0,0,1987,1420350.9103489178,0
19530,32,13,16,0,1392,1145,1,0,1,0,0,1958,889348.3705189428,0
372,2,10,12,0,751,1,0,0,0,0,0,1960,976230.0705234972,55706
7261,23,13,11,0,1292,1338,1,0,1,0,0,2012,1747486.393671093,1316790
20810,33,10,12,0,1501,33,0,0,0,0,0,1930,-109035.1615449125,1700000
6985,17,10,16,0,2250,84,0,0,0,0,0,1966,215325.0609942996,124000
12250,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,21000
2513,8,13,11,0,68,1021,1,0,1,0,0,1927,2010534.8292180584,0
2787,8,13,16,0,68,1006,1,0,1,0,0,1927,1648828.213540629,1117500
377,2,10,16,0,751,1,0,0,0,0,0,1960,700374.0879046172,84987
1511,4,17,22,0,145,1102,0,0,0,0,0,1915,1130768.3125775578,2700000
18877,32,17,17,0,1402,1002,0,0,0,0,0,1965,292125.14749667933,590000
2880,8,13,16,0,76,1501,1,0,1,0,0,2003,2160548.497383678,590000
4522,11,13,13,0,561,1157,1,0,1,0,0,1928,1906107.0420892094,0
22580,34,13,16,0,1615,1056,1,0,1,0,0,2008,682167.9457026883,1795000
16958,33,10,10,0,1576,5,0,0,0,0,0,1963,-23893.17917027371,1212500
7767,24,10,8,0,1342,23,0,0,0,0,0,1940,479104.15790174296,605000
4320,11,13,15,0,569,1260,1,0,1,0,0,0,3034983.2104694224,0
10170,26,10,16,0,1049,1,0,0,0,0,0,1957,-173904.8455753089,1135000
12969,28,13,15,0,868,1227,1,0,1,0,0,1956,1207718.5536338934,918303
7438,19,13,18,0,968,1275,1,0,1,0,0,1984,1362260.354561971,0
7716,24,10,8,0,1338,5,0,0,0,0,0,1929,465490.56825880054,499000
12893,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,33305
14546,26,45,79,0,1027,1318,0,0,1,0,0,0,387095.572277647,100
4186,11,10,11,0,551,1,0,0,0,0,0,1952,727941.8990195491,1893538
2709,8,15,17,0,29,1304,1,0,1,0,0,1935,1807865.4287855881,1225000
9520,25,13,13,0,1344,1211,1,0,1,0,0,2007,1395997.7877030163,1323725
8130,22,10,12,0,1836,37,0,0,0,0,0,1904,302692.4010137324,271752
10232,27,13,11,0,890,1307,1,0,1,0,0,1964,1604646.1418264718,0
18031,31,13,16,0,217,1267,1,0,1,0,0,1906,1118472.6018879213,2952925
11305,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,58900
9181,25,10,12,0,1363,16,0,0,0,0,0,1925,167640.9212266989,2237760
5548,13,7,9,2523,1927,16,10,0,10,2523,10030,1910,4560210.621317415,0
16892,32,3,2,1674,1417,115,3,0,3,1674,2700,1910,2098628.621317415,0
21146,36,10,16,0,1168,22,0,0,0,0,0,1930,-499065.99913945,1204500
8663,24,43,54,0,1360,1033,0,0,1,0,0,1967,785114.4647325496,0
15610,35,10,8,0,1162,29,0,0,0,0,0,1971,72418.5629982762,71669
4280,11,10,10,0,563,37,0,0,0,0,0,1930,850317.6987185008,786089
13887,26,45,79,0,1027,1192,0,0,1,0,0,0,245247.81808548374,200
8245,24,13,13,0,1292,1216,1,0,1,0,0,1983,1453282.6482281447,4250000
13109,32,13,11,0,1452,1008,1,0,1,0,0,2008,1048836.4318794492,0
25457,36,13,16,0,1252,1013,1,0,1,0,0,1920,621373.681826958,0
10627,26,13,18,0,1048,1029,1,0,1,0,0,0,2014391.273562889,0
14852,33,13,11,0,1542,1504,1,0,1,0,0,1974,1589399.195846506,0
15567,26,45,71,0,1027,1334,0,0,1,0,0,0,956819.9507461586,21079
9403,25,10,16,0,1370,15,0,0,0,0,0,1975,-139336.74389199493,0
11235,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,59900
4391,11,10,12,0,568,6,0,0,0,0,0,1924,680968.4377224147,839000
4438,11,10,12,0,573,75,0,0,0,0,0,1926,757348.7507279618,2000000
20801,33,13,13,0,1583,1055,1,0,1,0,0,1963,951710.2620221819,0
1320,4,13,11,0,176,1046,1,0,1,0,0,2007,2133644.5063626184,4939090
4091,11,10,12,0,525,40,0,0,0,0,0,1920,722529.0996855265,749000
19330,34,10,16,0,1512,123,0,0,0,0,0,1961,-338551.7049043975,48123
18599,39,13,11,0,2164,1107,1,0,1,0,0,0,2090514.7229873114,475000
8595,24,17,17,0,1327,1003,0,0,0,0,0,0,1757872.0350968563,0
20541,37,10,10,0,1891,1,0,0,0,0,0,1929,-159640.4957542424,1500000
14668,32,10,10,0,1403,33,0,0,0,0,0,1959,49866.62643405143,2703750
7017,17,10,12,0,2238,1,0,0,0,0,0,1952,406349.77570361784,390000
24949,39,13,13,0,2164,1051,1,0,1,0,0,0,1889543.2853702442,459000
2973,9,13,13,0,817,1249,1,0,1,0,0,2012,2026682.609198323,6765000
24405,35,45,71,0,1138,1472,0,0,1,0,0,0,783666.4226642218,302172
5731,13,8,10,12500,1594,7,47,0,47,12500,53136,1903,19019651.621317416,520000
6067,13,13,16,0,1923,1034,1,0,1,0,0,1892,1481359.1521328543,107650
15684,32,13,15,0,1438,3675,1,0,1,0,0,1996,3782880.3930071318,1625000
2292,8,13,15,0,15,1264,1,0,1,0,0,1930,2007556.0944931046,621000
24313,35,17,21,0,1179,1008,0,0,0,0,0,1962,-79269.32018563338,10
13558,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,18850
925,2,17,17,0,721,1008,0,0,0,0,0,1932,1420098.5348205804,450000
9444,25,10,16,0,1371,38,0,0,0,0,0,1959,-103912.74368320359,695000
20221,34,13,18,0,1536,1258,1,0,1,0,0,0,1972069.3324541175,1135000
10160,26,13,15,0,1047,1135,1,0,1,0,0,1931,1187829.3419911866,1800000
4049,10,14,56,2880,874,23,4,1,5,2880,9156,1900,32242.621317415033,0
19349,36,7,2,2125,1210,4,8,1,9,2125,8125,1900,3563194.621317415,5275000
7803,21,10,12,0,315,1,0,0,0,0,0,1960,296680.0101320017,360000
23391,36,10,11,0,1250,67,0,0,0,0,0,1926,-102907.30110824248,1040000
14451,26,45,71,0,1027,1227,0,0,1,0,0,0,836361.9372655121,0
4093,11,46,20,0,525,1102,0,0,1,0,0,1910,3574900.4317893167,2975000
8662,25,10,11,0,1334,41,0,0,0,0,0,1929,262965.78305644915,430000
1098,2,43,49,0,720,1002,0,0,1,0,0,1984,1895596.7025147309,1055000
7434,19,13,18,0,968,1223,1,0,1,0,0,1984,1303720.0115620303,1245000
16923,33,10,10,0,1566,10,0,0,0,0,0,1929,2242.138068466913,2000000
12634,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,0
11195,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,50685
22400,33,28,71,0,1557,1203,0,0,1,0,0,1989,237047.97525511077,0
7237,23,13,11,0,1287,1212,1,0,1,0,0,0,2806906.858530996,3743000
16476,35,13,9,0,1171,4684,0,0,0,0,0,0,6265165.106177652,2237326
19177,32,10,12,0,1448,3,0,0,0,0,0,1967,-127548.6111516389,0
8458,25,10,10,0,1342,37,0,0,0,0,0,1960,308752.9249201757,0
2843,9,13,11,0,826,1002,1,0,1,0,0,1915,1944265.3769643293,2698362
7777,24,10,8,0,1345,17,0,0,0,0,0,1959,460943.9715089719,660000
6006,13,17,19,0,2051,1002,0,0,0,0,0,0,2002412.4849607304,623000
8486,24,13,16,0,1310,1020,1,0,1,0,0,1956,1041482.4105998487,590000
1450,5,9,6,0,1056,49,0,0,0,0,0,1901,1415943.0592855383,1040000
3106,9,13,13,0,856,1104,1,0,1,0,0,1900,1929496.20568853,0
9582,25,13,16,0,1322,1072,1,0,1,0,0,0,2231260.524625798,1450000
2523,8,13,18,0,26,1337,1,0,1,0,0,1914,1892168.4609797006,1600000
5206,12,13,13,0,625,1157,1,0,1,0,0,1930,1867334.934973733,1200000
8053,24,10,8,0,1367,31,0,0,0,0,0,1955,478634.2692567888,0
23728,36,13,13,0,1236,1149,1,0,1,0,0,0,2127944.682219111,0
8,1,7,5,4845,401,15,20,1,21,4845,13854,1900,7675912.621317415,0
17236,33,13,15,0,1534,1105,1,0,1,0,0,1987,856764.4087690827,950000
14613,32,10,10,0,1396,33,0,0,0,0,0,1983,35684.53310694359,1810500
13999,33,10,8,0,1516,1,0,0,0,0,0,1973,104812.33745626872,5300000
2830,8,13,16,0,76,1205,1,0,1,0,0,2003,1827318.8526147879,650000
492,2,10,10,0,790,40,0,0,0,0,0,1920,1181130.4104767786,1165000
19386,34,10,16,0,1518,69,0,0,0,0,0,1925,-377976.66242066026,72652
7934,21,27,104,2500,274,2,0,2,2,2500,4600,1940,-5903925.378682585,3550000
15589,32,13,15,0,1420,1495,1,0,1,0,0,1951,1355929.2789047682,1635000
16074,35,13,11,0,1151,1485,1,0,1,0,0,2007,1483970.1785084703,3975000
20059,32,13,16,0,1484,1036,1,0,1,0,0,1985,748602.1748264418,1325000
6701,14,47,45,0,1629,1146,0,0,1,0,0,2007,1658923.353298062,0
7846,24,13,15,0,1287,1072,1,0,1,0,0,0,2337198.156894012,3057375
6371,14,3,2,1682,1645,125,3,0,3,1682,3500,1890,2929848.621317415,1208257
1611,5,10,16,0,1066,37,0,0,0,0,0,1957,627394.9076465587,0
5436,13,2,60,919,1919,63,2,1,3,919,2544,1890,-1362613.378682585,1225000
5635,13,7,10,4080,2036,19,20,0,20,4080,14554,1920,6972258.621317415,3600000
5248,12,13,16,0,629,1009,1,0,1,0,0,1907,1507475.7503834763,1750000
13168,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,59500
19595,36,10,10,0,1215,35,0,0,0,0,0,1931,-72223.59855056321,859000
23242,37,13,18,0,1243,1307,1,0,1,0,0,2011,724040.2746772501,2600000
3383,9,13,16,0,857,1044,1,0,1,0,0,2012,1588172.8252986413,2698362
12952,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,0
11097,26,26,48,7532,1009,37,0,2,2,7532,112850,2007,20070087.621317416,89591
14049,31,13,15,0,132,1079,1,0,1,0,0,1987,929205.4659664375,0
17240,32,10,11,0,1396,33,0,0,0,0,0,1983,-33279.462547776755,1565000
20316,34,13,18,0,1542,1465,1,0,1,0,0,1974,1026501.8657644778,0
5322,13,3,1,1499,1916,43,3,0,3,1499,2250,1920,2662792.621317415,1657500
6343,13,46,25,0,1745,1201,0,0,1,0,0,2009,3184511.605178858,2700000
19136,34,10,16,0,1498,69,0,0,0,0,0,1951,-393081.7862123968,1150000
2431,8,13,18,0,24,1120,1,0,1,0,0,1982,1607320.7941584685,650000
20402,37,10,10,0,1869,1,0,0,0,0,0,1926,-157390.9319251529,845000
5527,13,44,9,0,1826,1273,0,0,0,0,0,0,1604349.4772029517,0
3084,9,10,12,0,822,45,0,0,0,0,0,2005,743710.5736254924,1290000
2439,8,13,13,0,26,1328,1,0,1,0,0,1914,2226856.456811003,3500000
9986,27,10,8,0,894,6,0,0,0,0,0,1924,370123.6861620676,635000
8749,25,10,12,0,1330,7,0,0,0,0,0,1960,137301.7845280366,590000
19073,34,10,16,0,1494,32,0,0,0,0,0,1915,-413160.1165668559,15500000
6347,19,13,11,0,939,1065,1,0,1,0,0,2009,1594274.8709933884,0
20318,36,17,19,0,1236,1003,0,0,0,0,0,1986,1269.5915466127917,965000
10109,26,13,13,0,1008,1156,1,0,1,0,0,1987,1316779.5342721012,1115000
10434,26,13,18,0,1032,1196,1,0,1,0,0,2004,1006341.3376254612,0
18491,39,10,8,0,2179,373,0,0,0,0,0,1954,303659.87927309563,975000
18875,32,17,17,0,1398,1303,0,0,0,0,0,1961,633455.0466418318,1337500
26449,39,10,12,0,2179,10,0,0,0,0,0,1939,-371897.72851844365,1050000
1474,4,10,12,0,161,1,0,0,0,0,0,1965,913054.7121691979,605000
25077,36,10,12,0,1248,1,0,0,0,0,0,1939,-253891.81371898344,460000
15784,32,13,15,0,1466,1041,1,0,1,0,0,1990,820585.2382032084,1650000
8196,22,13,16,0,1833,2380,1,0,1,0,0,1961,2631139.428865651,1140000
21490,33,10,12,0,1565,28,0,0,0,0,0,1959,-133311.0445459648,269000
2899,8,13,18,0,78,1783,1,0,1,0,0,1908,2396762.6016453947,0
339,2,10,12,0,748,1,0,0,0,0,0,1963,974501.6019547363,57628
25640,36,44,48,0,1251,1004,0,0,1,0,0,0,1856134.2289621835,235000
11048,26,25,57,7532,1009,37,0,2,2,7532,112850,2007,19496647.621317416,0
932,2,13,16,0,798,1035,1,0,1,0,0,1973,1856262.3504139553,0
18468,39,10,8,0,2179,10,0,0,0,0,0,1939,-96041.74589956366,1335000
17110,36,10,8,0,1209,53,0,0,0,0,0,1929,87287.42050594976,2500000
24091,39,13,18,0,2134,1281,1,0,1,0,0,0,1804277.0616010823,529490
5735,13,9,15,0,2046,50,0,0,0,0,0,1910,480431.67591867875,190760
21445,35,10,11,0,1147,59,0,0,0,0,0,1926,-73522.49200202897,4000000
3041,9,10,16,0,816,31,0,0,0,0,0,1964,476695.79229218466,780000
19261,35,45,102,0,1138,1525,0,0,1,0,0,0,-1294551.3238052349,0
10996,31,13,11,0,16,1136,1,0,1,0,0,0,2457887.5527277947,850000
11301,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,43305
11496,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,56955
20566,33,9,11,0,1527,14,0,0,0,0,0,1900,7665.601392133161,315000
13687,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,61399
25080,36,10,12,0,1248,19,0,0,0,0,0,1926,-225866.8488343889,0
13686,26,45,79,0,1027,1139,0,0,1,0,0,0,185581.69925862225,100
2535,8,13,15,0,53,1045,1,0,1,0,0,1903,1776338.1236015023,0
18843,32,10,12,0,1421,1,0,0,0,0,0,1961,-125655.37992432714,610000
19297,35,47,25,0,1171,1900,0,0,1,0,0,0,4333637.536831122,0
10305,26,13,15,0,1271,1905,1,0,1,0,0,0,3202814.7151885214,0
20602,35,10,16,0,1614,1,0,0,0,0,0,1959,-513072.5277000484,0
16834,35,47,21,0,1171,1865,0,0,1,0,0,0,4570091.365507735,0
15822,26,45,71,0,1027,1361,0,0,1,0,0,0,987215.8980730507,100
12043,26,26,57,7532,1009,37,0,2,2,7532,112850,2007,19447495.621317416,42400
4167,11,10,12,0,548,45,0,0,0,0,0,1930,721708.5711806328,529000
10452,26,26,48,7532,1009,37,0,2,2,7532,112850,2007,20070087.621317416,107820
4933,12,13,15,0,607,1381,1,0,1,0,0,2013,1932404.9174822425,6170273
5373,12,27,70,28275,601,10,0,1,1,28275,6875,1920,-2942489.378682585,0
10588,29,10,7,0,515,31,0,0,0,0,0,1910,411001.6751383585,3400000
21076,33,10,12,0,1520,27,0,0,0,0,0,1941,-122752.84890429396,880000
7899,22,10,11,0,1832,25,0,0,0,0,0,1931,342111.46198704233,0
2448,8,13,11,0,33,1050,1,0,1,0,0,1931,2041523.8615632546,4100000
15262,34,13,11,0,1615,1074,1,0,1,0,0,2008,1047251.8888608837,2050000
11216,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,46177
24285,40,10,16,0,2179,10,0,0,0,0,0,1939,-683997.8143863571,499000
15714,32,13,15,0,1446,1126,1,0,1,0,0,0,2104723.0596998357,207000
10051,27,10,8,0,917,17,0,0,0,0,0,1963,358744.8126187059,430000
9868,26,13,15,0,1010,1681,1,0,1,0,0,2009,1756708.1644758456,21641312
20954,36,10,16,0,1127,29,0,0,0,0,0,1930,-490330.9721240564,26400000
17050,33,10,16,0,1395,50,0,0,0,0,0,1960,-381453.5112023242,1200000
17044,33,10,10,0,1589,34,0,0,0,0,0,1951,15647.350275090896,0
1045,2,17,19,0,740,1102,0,0,0,0,0,2008,1342225.438843951,1050000
2145,7,10,30,0,837,40,0,0,0,0,0,1928,-385125.67795220716,360000
10919,26,14,17,1500,1043,108,3,1,4,1500,3900,1920,996054.621317415,0
1322,4,10,10,0,178,25,0,0,0,0,0,1890,1122421.9785477403,0
7384,19,13,16,0,943,1318,1,0,1,0,0,0,2733565.801689382,825000
7095,17,10,12,0,2243,399,0,0,0,0,0,1937,863259.3357664789,270000
6227,14,9,9,0,1630,16,0,0,0,0,0,1930,816426.1936144964,36000
22277,33,15,19,0,1493,1155,1,0,1,0,0,1939,563190.9195940695,840000
2802,9,10,10,0,822,45,0,0,0,0,0,2005,881638.5649349331,1890000
15005,26,45,71,0,1027,1281,0,0,1,0,0,0,897153.8319192962,10
14337,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,38205
10853,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,97312
4356,11,10,11,0,568,26,0,0,0,0,0,1910,780805.9499155735,1250000
15341,32,13,15,0,1375,1267,1,0,1,0,0,1941,1106160.3618351617,9000000
14417,26,45,71,0,1027,1224,0,0,1,0,0,0,832984.609784747,0
12388,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,73725
12145,26,45,102,0,1006,1303,0,0,1,0,0,1963,-2387436.2451660666,97148
4648,12,9,9,0,630,43,0,0,0,0,0,1911,951497.1578526213,0
12586,28,1,26,495,893,71,1,0,1,495,1920,1910,188086.62131741503,2765000
5983,16,29,48,5881,1967,12,0,0,0,5881,0,0,-1884775.378682585,0
19384,33,9,9,0,1580,14,0,0,0,0,0,1925,129563.8707496752,400000
10272,26,13,13,0,1018,1133,1,0,1,0,0,2006,1279335.2521487647,1100000
20694,36,8,13,5108,1129,64,36,4,40,5108,30980,1926,11969912.621317415,0
7078,19,10,11,0,921,19,0,0,0,0,0,1965,442779.8280590051,472500
3798,11,10,8,0,568,6,0,0,0,0,0,1924,956824.4203412947,2075000
20668,33,10,12,0,1491,48,0,0,0,0,0,1967,-114029.08603695175,994500
565,2,13,11,0,695,1397,1,0,1,0,0,2005,2591656.0905058486,1350000
4372,11,10,11,0,573,39,0,0,0,0,0,1923,787575.8166134926,1550000
10078,26,13,13,0,1005,1028,1,0,1,0,0,1987,1172742.7598573328,1639382
15566,26,45,71,0,1027,1334,0,0,1,0,0,0,956819.9507461586,100
9556,26,8,108,15605,1029,14,233,1,234,15605,533600,2014,139710426.62131742,0
9359,25,13,11,0,1044,1191,1,0,1,0,0,1979,1534379.4055979666,1175696
948,2,17,17,0,738,1003,0,0,0,0,0,1973,1389638.3109089471,525000
16252,26,45,71,0,1027,1738,0,0,1,0,0,1925,262408.3848226168,0
3714,10,10,11,0,896,32,0,0,0,0,0,1961,786520.9383106199,470000
16494,28,10,12,0,867,33,0,0,0,0,0,1940,79430.3305022018,2437500
17411,33,13,15,0,1539,1457,1,0,1,0,0,1986,1253530.280793535,1042054
17602,36,13,11,0,1226,1208,1,0,1,0,0,1971,1155814.8854210754,0
5516,13,7,6,1665,1914,14,4,0,4,1665,5727,1899,2966803.621317415,1140000
18510,35,13,15,0,1138,1452,1,0,1,0,0,0,2369413.563136538,0
13072,26,45,79,0,1006,1302,0,0,1,0,0,1963,-802390.1209344282,39060
24175,35,17,21,0,1158,1007,0,0,0,0,0,1963,-80554.37599387905,425000
423,2,10,16,0,766,53,0,0,0,0,0,1900,794421.7737483601,935809
13072,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,220223
6549,14,17,22,0,1646,1103,0,0,0,0,0,2005,684436.4964839839,1175000
16414,31,13,13,0,16,4347,1,0,1,0,0,2000,4740825.741664661,1746298
15970,29,13,13,0,228,1013,1,0,1,0,0,0,2249558.4533974337,6100000
9858,25,13,16,0,1365,1389,1,0,1,0,0,1972,1409951.1779122823,1145531
1148,3,13,15,0,171,1215,1,0,1,0,0,1920,2136331.960794643,1812000
21806,33,13,16,0,1510,1073,1,0,1,0,0,1985,753469.838102777,2495000
9672,25,17,17,0,1327,1003,0,0,0,0,0,0,1721627.9318478229,669000
23752,36,13,13,0,1237,1040,1,0,1,0,0,1920,858974.273274208,0
20105,32,13,16,0,1484,1153,1,0,1,0,0,1985,880317.9465763071,1868488
21808,35,13,13,0,1131,1030,1,0,1,0,0,0,2032410.0621578177,2150000
13813,33,10,8,0,1500,45,0,0,0,0,0,1973,154679.97480744356,0
14534,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,75307
18118,35,10,10,0,1162,1,0,0,0,0,0,1927,-70763.15146497777,665000
4587,12,9,9,0,588,42,0,0,0,0,0,1900,957813.8220630521,864800
7291,23,13,11,0,1303,1056,1,0,1,0,0,1985,1445907.3285645642,1050000
6724,21,10,8,0,315,1,0,0,0,0,0,1960,572535.9927508817,1055000
11713,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,41330
16430,35,13,9,0,1171,4613,0,0,0,0,0,0,6185235.022466196,3912010
11658,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
1921,6,11,31,0,466,1001,28,0,28,0,30662,2006,11253663.223059451,0
8414,25,10,10,0,1338,12,0,0,0,0,0,1960,280691.90448878007,91260
12427,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,58505
18170,33,13,18,0,1423,1262,1,0,1,0,0,1991,826544.8895875267,3200000
7219,19,13,18,0,939,1045,1,0,1,0,0,2009,1089011.3848719099,1460000
23895,36,29,45,5700,1242,138,0,1,1,5700,33130,1926,3451180.621317415,0
2502,8,13,15,0,44,1074,1,0,1,0,0,1928,1794248.2168759569,1720000
11666,26,45,102,0,1006,1302,0,0,1,0,0,1963,-2388562.0209929883,51825
13221,29,9,9,0,516,1,0,0,0,0,0,1920,285068.0122754327,897000
12046,26,45,102,0,1006,1303,0,0,1,0,0,1963,-2387436.2451660666,78578
16513,28,10,12,0,884,27,0,0,0,0,0,1927,80082.3307636464,435000
12346,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
8598,24,46,71,0,1290,1209,0,0,1,0,0,1903,-304745.1903242632,0
5906,13,13,15,0,2046,1042,1,0,1,0,0,1921,1539452.5657221307,468468
14062,26,45,79,0,1027,1224,0,0,1,0,0,0,281272.6445469861,0
22834,37,10,16,0,1240,24,0,0,0,0,0,1922,-529783.3050843878,0
12781,32,13,11,0,1412,1154,1,0,1,0,0,0,2412809.4550265768,4975000
13551,26,45,71,0,1006,1302,0,0,1,0,0,0,921232.8443033337,18850
14227,26,45,79,0,1027,1258,0,0,1,0,0,0,319549.0226623309,0
7343,21,10,10,0,263,8,0,0,0,0,0,1955,446557.31037137983,800000
17924,33,13,18,0,1395,1206,1,0,1,0,0,1915,809457.0699714678,0
5021,12,10,11,0,624,1,0,0,0,0,0,1968,680624.1976103545,510000
24720,36,10,12,0,1195,29,0,0,0,0,0,1929,-215295.36861327197,0
4007,11,17,17,0,535,1002,0,0,0,0,0,1900,1110127.8993545962,425000
1786,6,7,2,1391,435,7,8,1,9,1391,5765,1900,4190990.621317415,0
11290,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
10732,29,15,15,0,499,1304,1,0,1,0,0,1900,1195765.6609711372,3000000
24796,36,10,12,0,1207,6,0,0,0,0,0,1926,-239647.33835743414,815000
16085,29,31,37,1509,477,44,0,0,0,1509,0,0,-1598415.378682585,0
4094,11,10,10,0,569,1,0,0,0,0,0,1905,824589.7060868321,730000
17628,33,13,15,0,1577,1135,1,0,1,0,0,0,2075880.3997289748,545000
829,2,13,16,0,774,1078,1,0,1,0,0,0,3083051.9624215136,2650000
8726,25,10,11,0,1336,15,0,0,0,0,0,1928,234250.9239356527,870000
18674,35,13,15,0,1167,1211,1,0,1,0,0,1901,962600.1183463722,1538652
25108,36,10,12,0,1250,6,0,0,0,0,0,1915,-233976.62220520014,1180000
4708,11,17,22,0,561,1003,0,0,0,0,0,1955,733056.7578371759,585000
710,2,13,13,0,767,1536,1,0,1,0,0,1929,2654082.1847888087,13725000
13542,26,45,97,0,1006,1303,0,0,1,0,0,1963,-2042616.2668924662,131257
11578,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,0
6101,13,13,13,0,1924,1067,1,0,1,0,0,2003,1659113.897575024,950000
16755,33,7,4,22681,1490,1,184,8,192,22681,98622,1911,49685049.62131742,0
669,2,13,16,0,717,1033,1,0,1,0,0,1920,1887340.1474035778,1064071
15053,33,13,11,0,1555,1200,1,0,1,0,0,0,2425370.3749268693,570000
10849,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,195651
4181,11,10,30,0,532,20,0,0,0,0,0,1930,-547454.2453107643,988000
8564,24,22,36,4522,1279,63,0,3,3,4522,17110,1930,1583852.621317415,0
18593,32,13,13,0,1484,1325,1,0,1,0,0,1985,1280843.3757710387,1700000
19663,32,13,16,0,1414,1217,1,0,1,0,0,2003,943080.6662282324,2800000
8152,22,13,18,0,1844,1001,1,0,1,0,0,1900,976954.2903163289,0
10623,26,13,16,0,1043,1019,1,0,1,0,0,1942,981791.7256551762,775000
16006,32,17,19,0,1433,1002,0,0,0,0,0,1931,173848.99806443136,370000
10966,26,26,43,7532,1009,37,0,2,2,7532,112850,2007,20414151.621317416,58899
23970,35,13,16,0,1171,3239,1,0,1,0,0,0,4311523.124447666,1280000
12796,26,31,37,0,1030,9058,0,0,0,0,0,0,8655800.554149034,0
18684,32,17,17,0,1373,1901,0,0,0,0,0,1975,1298832.0864014728,323408
1971,6,7,72,2225,438,31,9,1,10,2225,9115,1910,221460.62131741503,8572735
5620,14,7,29,1682,1688,121,4,0,4,1682,3146,1900,934026.621317415,0
19963,32,13,16,0,1461,1104,1,0,1,0,0,2006,813097.3386966349,0
12467,32,10,8,0,1450,8,0,0,0,0,0,1930,175983.56298102438,325000
11468,26,25,60,7532,1009,37,0,2,2,7532,112850,2007,19283655.621317416,0
12761,26,45,97,0,1006,1302,0,0,1,0,0,1963,-2043742.042719388,51254
8329,22,15,19,0,1841,1101,1,0,1,0,0,0,2051413.5146558727,999000
1476,4,13,18,0,173,1182,1,0,1,0,0,1924,1853615.5806721994,2596538
12766,32,13,11,0,1410,1248,1,0,1,0,0,0,2518674.0703780646,3150000
18499,32,13,13,0,1464,1093,1,0,1,0,0,1984,1020677.260133415,860000
9147,25,13,11,0,1018,1130,1,0,1,0,0,2006,1450130.0192264724,2075000
8287,25,10,10,0,1333,23,0,0,0,0,0,1930,311089.6576369875,280000
